mode,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,equivphyskloc,act_effort
2,1.0,0.94,1.15,1.0,1.0,1.15,0.87,0.86,0.91,0.86,1.1,1.14,1.0,1.0,1.0,100.0,215.0
2,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.86,1.0,0.95,1.0,1.0,1.0,20.0,48.0
2,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,1.0,1.0,1.0,1.14,1.0,1.0,1.0,100.0,360.0
2,1.0,0.94,1.15,1.0,1.56,0.87,0.87,0.86,0.82,0.7,1.0,0.95,1.0,1.0,1.0,150.0,324.0
2,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.0,1.0,31.5,60.0
2,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.86,1.0,0.95,1.0,1.0,1.0,15.0,48.0
2,1.0,0.94,1.15,1.0,1.56,0.87,0.87,0.86,0.91,1.0,1.0,0.95,1.0,1.0,1.0,32.5,60.0
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,19.7,60.0
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,66.6,300.0
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,29.5,120.0
2,1.15,1.0,1.0,1.11,1.0,1.0,1.0,1.0,0.91,0.86,1.0,1.0,1.0,1.0,1.0,15.0,90.0
2,1.15,1.0,1.15,1.0,1.0,1.0,1.0,1.0,0.91,0.86,1.0,1.0,1.0,1.0,1.0,38.0,210.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.86,1.0,1.0,1.0,1.0,1.0,10.0,48.0
2,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,15.4,70.0
2,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,48.5,239.0
2,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,16.3,82.0
2,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,12.8,62.0
2,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,32.6,170.0
2,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,35.5,192.0
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,5.5,18.0
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,10.4,50.0
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,14.0,60.0
2,1.15,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.5,42.0
2,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,60.0
2,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,0.86,1.0,0.95,0.91,0.91,1.0,90.0,444.0
2,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,42.0
2,1.0,1.0,1.15,1.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,114.0
2,1.0,1.08,1.15,1.3,1.06,0.87,1.07,0.86,1.0,0.86,1.1,0.95,0.91,1.0,1.08,177.9,1248.0
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,0.86,1.0,1.0,0.91,1.24,1.0,302.0,2400.0
2,1.0,1.08,0.85,1.0,1.0,1.15,1.0,0.86,0.91,1.0,1.0,1.0,0.91,0.91,1.0,282.1,1368.0
2,1.15,1.08,0.85,1.0,1.0,1.0,1.07,0.86,0.91,1.0,1.0,1.0,0.91,1.0,1.0,284.7,973.0
2,1.15,1.08,1.0,1.0,1.0,0.87,0.87,1.0,0.91,0.86,1.0,0.95,1.0,1.0,1.0,79.0,400.0
2,0.88,1.0,1.0,1.0,1.0,0.87,0.87,0.86,0.91,0.7,1.0,0.95,1.1,1.1,1.04,423.0,2400.0
2,1.0,1.0,1.0,1.0,1.0,0.87,1.0,0.86,0.82,0.7,1.1,0.95,0.91,1.0,1.0,190.0,420.0
2,1.0,1.0,1.15,1.0,1.06,1.0,1.0,0.86,0.91,1.0,1.0,0.95,0.91,1.0,1.04,47.5,252.0
2,1.4,1.0,1.65,1.11,1.06,0.87,0.87,1.0,0.91,1.0,1.0,1.0,1.1,0.91,1.0,21.0,107.0
2,1.0,1.08,1.15,1.3,1.0,1.0,1.07,0.86,0.91,0.86,1.0,0.95,1.1,1.1,1.04,78.0,571.4
2,1.0,1.08,1.15,1.3,1.0,1.0,1.07,0.86,0.91,0.86,1.0,0.95,1.1,1.1,1.04,11.4,98.8
2,1.0,1.08,1.15,1.3,1.0,1.0,1.07,0.86,0.91,0.86,1.0,0.95,1.1,1.1,1.04,19.3,155.0
2,1.15,1.0,1.3,1.11,1.06,0.87,1.07,0.86,1.0,1.0,0.9,0.95,1.1,0.83,1.04,101.0,750.0
2,1.15,1.0,1.15,1.11,1.06,0.87,1.07,1.0,0.91,1.0,1.0,1.0,1.1,0.83,1.0,219.0,2120.0
2,1.15,1.0,1.15,1.11,1.06,0.87,1.07,1.0,0.91,1.0,1.0,1.0,1.1,0.83,1.0,50.0,370.0
2,1.4,1.08,1.15,1.3,1.21,1.0,1.0,0.71,0.82,0.7,1.0,0.95,0.91,0.91,1.08,227.0,1181.0
2,1.0,1.08,1.3,1.0,1.0,0.87,1.0,0.86,1.0,0.7,1.1,1.0,0.91,1.0,1.08,70.0,278.0
2,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,0.9,8.4
2,1.4,0.94,1.65,1.66,1.21,0.87,0.87,0.86,0.82,0.86,1.21,0.95,1.24,1.24,1.04,980.0,4560.0
3,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.71,1.0,0.7,0.9,0.95,1.0,1.1,1.0,350.0,720.0
3,1.15,1.0,1.65,1.11,1.06,0.87,0.87,0.86,1.0,1.0,0.9,0.95,0.91,0.91,1.0,70.0,458.0
3,1.15,1.0,1.65,1.11,1.06,0.87,0.87,0.86,1.0,1.0,0.9,0.95,0.91,0.91,1.0,271.0,2460.0
1,1.0,1.0,1.0,1.0,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.1,1.0,90.0,162.0
1,1.0,1.0,1.0,1.0,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.1,1.0,40.0,150.0
3,1.15,1.0,1.15,1.11,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.0,1.0,137.0,636.0
3,1.15,1.0,1.15,1.11,1.0,1.15,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.24,1.0,150.0,882.0
3,1.4,1.0,1.15,1.11,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.0,1.0,339.0,444.0
1,0.88,1.08,0.85,1.0,1.0,1.15,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.1,1.0,240.0,192.0
2,1.15,1.0,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,144.0,576.0
2,1.0,0.94,1.0,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,151.0,432.0
2,1.0,0.94,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,34.0,72.0
2,1.0,1.0,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,98.0,300.0
2,1.0,1.0,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,85.0,300.0
2,1.0,0.94,1.0,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,20.0,240.0
2,1.0,0.94,1.0,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,111.0,600.0
2,1.15,1.16,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,162.0,756.0
2,1.15,1.08,1.3,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,352.0,1200.0
2,1.15,1.0,1.3,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,165.0,97.0
3,1.15,1.0,1.3,1.11,1.06,0.87,1.15,0.86,1.0,1.0,0.9,0.95,0.91,0.83,1.04,60.0,409.0
3,1.15,1.0,1.3,1.11,1.06,0.87,1.15,0.86,1.0,1.0,0.9,0.95,0.91,0.83,1.04,100.0,703.0
3,1.15,1.16,1.3,1.66,1.56,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,32.0,1350.0
3,1.15,1.08,1.15,1.3,1.56,1.15,1.07,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.0,53.0,480.0
3,1.15,0.94,1.3,1.3,1.56,0.87,1.0,0.71,0.82,0.7,1.21,1.14,0.91,0.91,1.0,41.0,599.0
3,1.15,0.94,1.3,1.3,1.56,0.87,1.0,0.71,0.82,0.7,1.21,1.14,0.91,0.91,1.0,24.0,430.0
3,1.4,1.08,1.3,1.66,1.56,1.0,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,165.0,4178.2
3,1.4,1.08,1.3,1.66,1.56,1.0,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,65.0,1772.5
3,1.4,1.08,1.3,1.66,1.56,1.0,0.87,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,70.0,1645.9
3,1.4,1.08,1.65,1.66,1.56,1.0,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,50.0,1924.5
3,1.4,0.94,1.3,1.3,1.56,0.87,0.87,0.86,1.13,1.0,1.21,1.07,1.1,0.91,1.04,7.25,648.0
3,1.4,1.08,1.3,1.66,1.56,1.0,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,233.0,8211.0
3,1.15,1.0,1.3,1.3,1.21,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,16.3,480.0
3,1.15,1.0,1.3,1.3,1.21,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,6.2,12.0
3,1.15,1.0,1.3,1.3,1.21,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,3.0,38.0
